__AVR_AT94K__	io_at94k
__AVR_ATtiny45__	io_tn45
__AVR_ATtiny85__	io_tn85
__AVR_ATtiny24__	io_tn24
__AVR_ATtiny24A__	io_tn24a
__AVR_ATtiny44__	io_tn44
__AVR_ATtiny44A__	io_tn44a
__AVR_ATtiny441__	io_tn441
__AVR_ATtiny84__	io_tn84
__AVR_ATtiny84A__	io_tn84a
__AVR_ATtiny841__	io_tn841
__AVR_ATtiny261__	io_tn261
__AVR_ATtiny261A__	io_tn261a
__AVR_ATtiny461__	io_tn461
__AVR_ATtiny461A__	io_tn461a
__AVR_ATtiny861__	io_tn861
__AVR_ATtiny861A__	io_tn861a
__AVR_ATtiny43U__	io_tn43u
__AVR_ATtiny48__	io_tn48
__AVR_ATtiny88__	io_tn88
__AVR_ATtiny828__	io_tn828
__AVR_ATtiny87__	io_tn87
__AVR_ATtiny167__	io_tn167
__AVR_ATtiny1634__	io_tn1634
__AVR_AT90SCR100__	io_90scr100
__AVR_ATxmega8E5__	io_x8e5
__AVR_ATxmega16A4__	io_x16a4
__AVR_ATxmega16A4U__	io_x16a4u
__AVR_ATxmega16C4__	io_x16c4
__AVR_ATxmega16D4__	io_x16d4
__AVR_ATxmega32A4__	io_x32a4
__AVR_ATxmega32A4U__	io_x32a4u
__AVR_ATxmega32C3__	io_x32c3
__AVR_ATxmega32C4__	io_x32c4
__AVR_ATxmega32D3__	io_x32d3
__AVR_ATxmega32D4__	io_x32d4
__AVR_ATxmega32E5__	io_x32e5
__AVR_ATxmega64A1__	io_x64a1
__AVR_ATxmega64A1U__	io_x64a1u
__AVR_ATxmega64A3__	io_x64a3
__AVR_ATxmega64A3U__	io_x64a3u
__AVR_ATxmega64A4U__	io_x64a4u
__AVR_ATxmega64B1__	io_x64b1
__AVR_ATxmega64B3__	io_x64b3
__AVR_ATxmega64C3__	io_x64c3
__AVR_ATxmega64D3__	io_x64d3
__AVR_ATxmega64D4__	io_x64d4
__AVR_ATxmega128A1__	io_x128a1
__AVR_ATxmega128A1U__	io_x128a1u
__AVR_ATxmega128A4U__	io_x128a4u
__AVR_ATxmega128A3__	io_x128a3
